Arcminute,North,East,South,West
0.0,0.06,0.06,0.06,0.06
1.0,0.06,0.06,0.06,0.06
2.0,0.06,0.06,0.06,0.06
3.0,0.061,0.06,0.06,0.06
4.0,0.061,0.06,0.06,0.06
5.0,0.061,0.06,0.06,0.06
6.0,0.061,0.06,0.06,0.06
7.0,0.061,0.059,0.058,0.06
8.0,0.061,0.059,0.057,0.058
9.0,0.06,0.059,0.057,0.056
10.0,0.06,0.056,0.055,0.056
11.0,0.057,0.055,0.052,0.053
12.0,0.054,0.055,0.052,0.051
13.0,0.054,0.053,0.049,0.051
14.0,0.051,0.052,0.048,0.049
15.0,0.05,0.052,0.048,0.048
16.0,0.05,0.052,0.046,0.048
17.0,0.049,0.053,0.045,0.047
18.0,0.048,0.053,0.045,0.047
19.0,0.048,0.054,0.045,0.047
20.0,0.048,0.058,0.045,0.047
21.0,0.048,0.058,0.045,0.047
22.0,0.048,0.057,0.045,0.048
23.0,0.048,0.055,0.045,0.048
24.0,0.048,0.055,0.046,0.047
25.0,0.048,0.053,0.046,0.047
26.0,0.046,0.052,0.047,0.047
27.0,0.045,0.052,0.047,0.047
28.0,0.045,0.048,0.047,0.047
29.0,0.045,0.048,0.047,0.047
30.0,0.045,0.048,0.047,0.047
31.0,0.045,0.048,0.047,0.048
32.0,0.045,0.05,0.048,0.048
33.0,0.046,0.05,0.048,0.05
34.0,0.049,0.052,0.048,0.051
35.0,0.049,0.053,0.046,0.051
36.0,0.05,0.053,0.046,0.053
37.0,0.052,0.055,0.046,0.053
38.0,0.052,0.056,0.044,0.053
39.0,0.052,0.056,0.043,0.053
40.0,0.051,0.055,0.043,0.053
,,,,
