Arcminute,North,East,South,West
0.0,0.038,0.038,0.038,0.038
1.0,0.038,0.038,0.038,0.038
2.0,0.039,0.037,0.038,0.038
3.0,0.039,0.035,0.038,0.038
4.0,0.039,0.035,0.038,0.038
5.0,0.039,0.034,0.037,0.038
6.0,0.039,0.03,0.034,0.038
7.0,0.039,0.03,0.034,0.036
8.0,0.039,0.03,0.032,0.034
9.0,0.039,0.026,0.032,0.034
10.0,0.037,0.026,0.029,0.031
11.0,0.036,0.025,0.028,0.031
12.0,0.036,0.025,0.028,0.031
13.0,0.036,0.025,0.028,0.028
14.0,0.036,0.025,0.026,0.028
15.0,0.036,0.025,0.026,0.028
16.0,0.036,0.025,0.024,0.027
17.0,0.036,0.026,0.022,0.028
18.0,0.036,0.027,0.022,0.028
19.0,0.037,0.027,0.022,0.028
20.0,0.037,0.027,0.022,0.028
21.0,0.037,0.027,0.022,0.028
22.0,0.037,0.026,0.023,0.027
23.0,0.037,0.025,0.024,0.027
24.0,0.037,0.025,0.024,0.027
25.0,0.037,0.025,0.024,0.027
26.0,0.037,0.024,0.025,0.028
27.0,0.037,0.025,0.025,0.03
28.0,0.036,0.025,0.025,0.03
29.0,0.036,0.026,0.025,0.031
30.0,0.035,0.027,0.025,0.032
31.0,0.035,0.027,0.026,0.032
32.0,0.035,0.028,0.023,0.032
33.0,0.035,0.029,0.023,0.03
34.0,0.036,0.029,0.021,0.03
35.0,0.036,0.029,0.021,0.03
36.0,0.036,0.028,0.021,0.029
37.0,0.037,0.028,0.021,0.029
38.0,0.037,0.028,0.021,0.029
39.0,0.037,0.026,0.021,0.028
40.0,0.036,0.026,0.021,0.027
,,,,
